"formula","growth","cohort","kind","yr","value"
"base4_expsvc",0.3,2027,"persistent",1,0.0183638809882544
"base4_expsvc",0.3,2027,"persistent",2,0.0814886607266014
"base4_expsvc",0.3,2027,"persistent",3,0.234872208404365
"base4_expsvc",0.3,2027,"persistent",4,0.524399729937311
"base4_expsvc",0.3,2027,"persistent",5,0.852089871368369
"base4_expsvc",0.3,2027,"realised",1,0.0173224785165084
"base4_expsvc",0.3,2027,"realised",2,0.0450927182270466
"base4_expsvc",0.3,2027,"realised",3,0.0836273179556762
"base4_expsvc",0.3,2027,"realised",4,0.121664405246495
"base4_expsvc",0.3,2027,"realised",5,0.146132971506106
"base4_expsvc",0.3,2027,"realised",6,0.151560379918589
"base4_expsvc",0.3,2027,"realised",7,0.151696065128901
"base4_expsvc",0.3,2027,"realised",8,0.151696065128901
"base4_expsvc",0.3,2030,"persistent",1,0.0078214326958459
"base4_expsvc",0.3,2030,"persistent",2,0.0277455197385504
"base4_expsvc",0.3,2030,"persistent",3,0.0768310838855381
"base4_expsvc",0.3,2030,"persistent",4,0.190018977722193
"base4_expsvc",0.3,2030,"persistent",5,0.419593686572753
"base4_expsvc",0.3,2030,"realised",1,0.00735475896168109
"base4_expsvc",0.3,2030,"realised",2,0.0159044087350639
"base4_expsvc",0.3,2030,"realised",3,0.0280593325092707
"base4_expsvc",0.3,2030,"realised",4,0.0430160692212608
"base4_expsvc",0.3,2030,"realised",5,0.0604655953852493
